#########################
# NPM module: package.json
#########################
"License","Count"
"(MIT OR Apache-2.0)","1"
"(MIT OR CC0-1.0)","5"
"(MIT OR GPL-3.0-or-later)","1"
"0BSD","1"
"Apache-2.0","121"
"BSD-2-Clause","11"
"BSD-3-Clause","19"
"CC-BY-3.0","1"
"CC-BY-4.0","1"
"CC0-1.0","1"
"ISC","49"
"MIT*","2"
"MIT","536"
"Python-2.0","1"
#########################
# NPM module: src/sagemaker/seed-code/model-deploy/package.json
#########################
"License","Count"
"(MIT OR CC0-1.0)","1"
"(MIT OR GPL-3.0-or-later)","1"
"Apache-2.0","14"
"BSD-2-Clause","1"
"BSD-3-Clause","16"
"CC-BY-4.0","1"
"ISC","32"
"MIT","261"
"UNKNOWN","1"
